Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
9065-of-13898,83607307,7878259.68,204,109277,337,134
9066-of-13898,83320659,7875536.15,205,109827,338,134
9067-of-13898,73544591,6931500.59,206,110364,345,139
9068-of-13898,70738216,6903203.43,206,110455,345,139
9069-of-13898,65813219,6428555.03,207,110701,348,142
9070-of-13898,230550231,22339664.41,198,104231,303,105
9071-of-13898,119060185,10779766,202,107230,328,125
9072-of-13898,118881417,10777180.58,202,107354,328,126
9073-of-13898,282656149,23971942.73,201,108612,299,98
9074-of-13898,281561726,23952418.06,201,108623,299,98
9075-of-13898,98528533,6829821.88,213,111037,340,128
9076-of-13898,97537245,6632922.32,213,111233,341,128
9077-of-13898,86029797,6956920.81,205,107890,348,144
9078-of-13898,81001899,6471270.61,205,108151,351,146
9079-of-13898,80445753,6357304.23,206,108297,352,146
9080-of-13898,70987256,6092151.42,206,108486,353,147
9081-of-13898,70700607,6089427.89,207,109037,353,147
9082-of-13898,70643525,6089427.89,207,109043,353,147
9083-of-13898,219966714,21792741.36,198,105391,304,106
9084-of-13898,219606009,21730527.69,198,105391,304,106
9085-of-13898,217543586,21645794.96,198,105401,306,108
9086-of-13898,114792043,9080849.7,205,111155,328,122
9087-of-13898,163770901,13569858.33,200,105200,326,126
9088-of-13898,163565735,13568681.31,200,105223,326,126
9089-of-13898,60652203,5560675.29,208,110397,355,147
9090-of-13898,60637059,5560675.29,208,110404,355,147
9091-of-13898,46644930,4198137.1,211,109524,360,149
9092-of-13898,45708004,4111417.04,212,110294,362,150
9093-of-13898,45513324,4089562.26,212,110362,362,150
9094-of-13898,109170477,7485474.04,209,109981,337,128
9095-of-13898,104391351,7221285.26,209,110033,337,129
9096-of-13898,102751552,7065682.31,209,110052,338,129
9097-of-13898,87879943,6334657.03,209,110253,341,133
9098-of-13898,86267104,6169658.99,209,110437,343,134
9099-of-13898,94281170,8388538.34,209,110780,336,127
9100-of-13898,93622310,8227028.51,210,111044,337,127
9101-of-13898,93509743,8218370.59,210,111049,337,127
9102-of-13898,112932609,11120104.96,205,109415,329,123
9103-of-13898,60812161,4095571.99,212,110075,355,143
9104-of-13898,60484061,4063401.49,212,110082,356,143
9105-of-13898,163392779,11992229.16,206,110750,318,112
9106-of-13898,162792551,11987405.98,206,111007,318,112
9107-of-13898,162687529,11969164.01,206,111022,319,113
9108-of-13898,161964766,11618739.35,206,111032,319,113
9109-of-13898,151938168,14802473.6,205,110738,317,112
9110-of-13898,149668001,14750899.27,205,110763,317,112
9111-of-13898,131494676,10381954.09,206,107041,330,124
9112-of-13898,125865371,9704456.02,206,107062,331,124
9113-of-13898,240868451,20029701.54,203,110495,305,102
9114-of-13898,240753985,20024637.34,203,110497,305,102
9115-of-13898,176265202,19312917.92,201,106315,312,111
9116-of-13898,162075711,17774835.6,201,106499,314,113
9117-of-13898,167459094,13540601.59,203,105693,323,119
9118-of-13898,167019855,13540601.59,204,105790,323,119
9119-of-13898,172708288,12899486.23,201,105410,323,122
9120-of-13898,171757919,12512701.45,201,105411,323,122
9121-of-13898,303062345,29243063.08,204,108031,299,95
9122-of-13898,160504925,11722752.02,203,106931,324,121
9123-of-13898,241570842,19351263.46,206,108737,309,103
9124-of-13898,190971771,17263525.76,200,103212,318,119
9125-of-13898,153324946,13712987.51,202,104517,327,125
9126-of-13898,108000665,7742434.03,206,110657,333,127
9127-of-13898,78623952,6505368,209,111178,344,135
9128-of-13898,77558148,6382166.34,209,111230,344,135
9129-of-13898,263121514,26798673.89,200,104840,301,100
9130-of-13898,160878242,15195104.26,209,110603,319,110
9131-of-13898,130484694,9526558.15,206,111231,322,116
9132-of-13898,128286915,9331380.41,206,111335,322,116
9133-of-13898,128071017,9329411.62,206,111371,322,116
9134-of-13898,214233309,20763700.05,202,107251,306,103
9135-of-13898,204595852,20247030.4,203,107374,308,105
9136-of-13898,201683473,19914658.83,203,107400,308,106
9137-of-13898,199773463,20669236.69,203,108861,307,105
9138-of-13898,284372232,30957569.86,200,105760,298,98
9139-of-13898,274965619,28175027.75,200,105802,298,98
9140-of-13898,273823104,28047748.5,200,105820,298,98
9141-of-13898,163303643,15368448.27,200,104858,320,121
9142-of-13898,151759798,13662045.63,200,105039,322,122
9143-of-13898,151212742,13662045.63,200,105136,322,122
9144-of-13898,155672717,17176708.96,198,104192,315,117
9145-of-13898,154547882,17019275.71,198,104231,316,118
9146-of-13898,154342847,17001837.09,198,104232,316,118
9147-of-13898,134189008,12856865.02,205,106587,328,123
9148-of-13898,181951798,17525310.84,201,105313,316,115
9149-of-13898,181880295,17524576.85,201,105317,316,115
9150-of-13898,181823511,17524576.85,201,105319,316,115
9151-of-13898,99721538,10577597.52,204,107158,337,133
9152-of-13898,144108835,10741063.37,205,105591,334,129
9153-of-13898,145721885,14352287.16,206,111066,318,113
9154-of-13898,145542335,14350645.03,206,111126,319,113
9155-of-13898,145382069,14088246.38,206,111126,319,113
9156-of-13898,143972805,11817182.84,206,111171,319,113
9157-of-13898,149552398,13422972.22,200,105146,322,122
9158-of-13898,146258258,12953696.22,201,105423,324,123
9159-of-13898,142964776,12859582.92,202,105677,326,125
9160-of-13898,120030844,8310719.49,203,107245,341,137
9161-of-13898,118764182,8282255.05,203,107264,341,137
9162-of-13898,116910488,8129413.79,203,107329,341,137
9163-of-13898,114132283,7762491.88,203,107340,341,137
9164-of-13898,113893364,7722130.49,204,107410,341,137
9165-of-13898,112842854,7611535.06,204,107476,342,138
9166-of-13898,151126806,11244212.4,204,107352,325,121
9167-of-13898,149868333,11089384.64,204,107375,325,122
9168-of-13898,58858356,3891966.98,213,110387,357,144
9169-of-13898,261066918,25480472.16,200,108412,300,99
9170-of-13898,259502032,25450461.55,200,108412,301,101
9171-of-13898,258535186,25440536.87,200,108423,301,101
9172-of-13898,109909136,7614788.06,206,109533,334,129
9173-of-13898,109527904,7611250.25,206,109604,335,129
9174-of-13898,109167399,7581039.36,206,109607,335,129
9175-of-13898,187475101,13907997.66,199,105101,319,120
9176-of-13898,167695531,12917552.34,200,105830,322,123
9177-of-13898,163859758,12663878.8,200,105881,323,123
9178-of-13898,163289652,12548260.96,200,105897,324,124
9179-of-13898,53639423,4080222.28,209,110839,362,153
9180-of-13898,121329488,10394000.45,204,110909,326,122
9181-of-13898,118311468,10132223.48,204,111010,327,123
9182-of-13898,115886325,10107464.13,204,111029,327,123
9183-of-13898,115776615,10105570.13,205,111078,328,123
9184-of-13898,115069296,10098309.5,205,111095,328,123
9185-of-13898,241778792,24741177.51,199,104038,302,103
9186-of-13898,237207111,24538354.49,199,104068,302,104
9187-of-13898,64169427,4549807.79,208,109887,353,145
9188-of-13898,63153705,4431340.15,208,109910,353,145
9189-of-13898,63065990,4420898.8,208,110042,354,146
9190-of-13898,62787942,4420898.8,208,110120,354,146
9191-of-13898,147478898,11223240.34,206,110552,320,115
9192-of-13898,294506415,25375931.09,203,108082,300,97
9193-of-13898,52214874,4077455.8,209,110653,362,153
9194-of-13898,157243231,11658025.86,205,110664,318,114
9195-of-13898,147321852,11255946.33,205,110879,319,114
9196-of-13898,139275216,10371274.19,205,110906,320,115
9197-of-13898,137704010,10262436.46,205,110927,320,115
9198-of-13898,179205381,16640175.51,202,106937,313,111
9199-of-13898,45546642,4527715.14,213,110845,358,145
9200-of-13898,44479533,4491046.43,213,111005,359,145
9201-of-13898,43831585,3848147.71,214,111070,360,147
9202-of-13898,156770574,12871448.27,204,110364,317,113
9203-of-13898,155977789,12827377.79,204,110426,318,114
9204-of-13898,110471770,8392621.28,204,108551,332,127
9205-of-13898,106903481,8098946.01,204,108561,335,130
9206-of-13898,106679353,8078479.01,204,108564,335,131
9207-of-13898,104737508,8036177.86,204,108582,335,131
9208-of-13898,94881377,6978053.8,205,109046,339,134
9209-of-13898,94063541,6973327.9,205,109065,340,135
9210-of-13898,105266180,8956213.59,214,111132,336,122
9211-of-13898,104168006,8753076.84,214,111162,337,123
9212-of-13898,169211004,14106277.78,201,107859,318,118
9213-of-13898,168743370,13997243.03,201,107864,319,118
9214-of-13898,135436811,13186654.06,211,110175,325,114
9215-of-13898,133292183,13112830.25,211,110206,325,115
9216-of-13898,132514169,12917012.8,211,110210,326,115
9217-of-13898,132321043,12906758.35,211,110417,326,115
9218-of-13898,56067012,3824670.57,213,110545,357,144
9219-of-13898,55780009,3824670.57,213,110622,357,144
9220-of-13898,52562427,3762199.58,213,110678,357,145
9221-of-13898,208309600,15638917.59,199,106033,312,113
9222-of-13898,207189377,15544733.54,199,106170,313,113
9223-of-13898,203164289,15217061.66,200,106378,315,115
9224-of-13898,248758976,22370323.99,200,108238,301,101
9225-of-13898,244005347,22072374.23,200,108261,301,102
9226-of-13898,148269367,11119347.46,205,105529,333,129
9227-of-13898,59340458,4297404.5,210,108416,354,144
9228-of-13898,57324153,4039454.27,210,108461,355,145
9229-of-13898,51220538,3698722.62,211,109289,361,150
9230-of-13898,50882907,3649962.65,212,109426,362,150
9231-of-13898,50689781,3639708.2,212,109634,362,150
9232-of-13898,283792132,25713937.68,206,108800,303,97
9233-of-13898,145622454,14359427.8,199,104823,327,127
9234-of-13898,145225541,14323067.68,199,104832,327,127
9235-of-13898,144812864,14251621.94,200,104862,327,127
9236-of-13898,275501078,21350584.18,202,109429,303,101
9237-of-13898,250604243,22930802.55,204,110571,303,99
9238-of-13898,233984004,26444283.87,201,107590,303,102
9239-of-13898,138305923,12166971.44,202,108582,323,121
9240-of-13898,166855382,15851639.07,204,110471,314,110
9241-of-13898,166836823,15851196.04,204,110472,314,110
9242-of-13898,176398437,14204546.17,204,110519,314,110
9243-of-13898,167713208,14035713.74,204,110649,314,110
9244-of-13898,86741585,9560808.05,210,110352,338,129
9245-of-13898,85558700,9497575.9,210,110441,340,130
9246-of-13898,78843113,9205883.75,210,110501,343,133
9247-of-13898,78613637,9162230.87,211,110570,344,134
9248-of-13898,116109641,8441635.68,204,107270,341,138
9249-of-13898,182919001,13446974.57,203,104851,326,122
9250-of-13898,85140834,6791602.89,206,109266,344,139
9251-of-13898,257415354,20196148.09,201,108413,304,103
9252-of-13898,309981852,27496316.14,202,107315,298,96
9253-of-13898,200420379,20103891.56,199,102705,317,119
9254-of-13898,189554244,18906962.06,199,102843,319,120
9255-of-13898,176062663,12802990.88,200,105506,322,123
9256-of-13898,174304124,12607813.14,200,105513,322,123
9257-of-13898,171549733,12514530.49,200,105513,325,125
9258-of-13898,169194443,12400970.57,200,105526,325,125
9259-of-13898,288126575,26262691.49,206,108827,303,96
9260-of-13898,287898422,26259355.15,206,108863,303,96
9261-of-13898,283144792,25961405.39,206,108885,303,97
9262-of-13898,154123954,11462749.06,205,110819,320,115
9263-of-13898,131366491,11363186.49,203,110112,324,121
9264-of-13898,235195080,19653165.57,196,102444,307,111
9265-of-13898,231405285,19238871.83,196,102630,309,113
9266-of-13898,117055178,9740283.61,203,109569,327,124
9267-of-13898,116640419,9691567.73,203,109573,327,124
9268-of-13898,116550418,9681102.9,204,109706,328,125
9269-of-13898,115826319,9485827.53,204,109706,329,125
9270-of-13898,113080251,8988602.42,206,111015,327,121
9271-of-13898,182700055,19479417.82,201,106335,312,111
9272-of-13898,173938007,18934151.31,202,106947,314,112
9273-of-13898,167500222,12305216.43,201,108713,319,118
9274-of-13898,96578833,6789042.34,213,111214,340,127
9275-of-13898,96218128,6726828.67,213,111215,340,128
9276-of-13898,96065809,6706361.67,213,111215,341,128
9277-of-13898,134533850,10838345.45,206,108977,325,119
9278-of-13898,115561178,7202868.47,207,106859,340,133
9279-of-13898,115345279,7200899.68,207,106894,340,133
9280-of-13898,278066511,27553822.56,197,102972,295,99
9281-of-13898,277894006,27513732.78,197,103000,295,99
9282-of-13898,109495783,8848006.45,203,107830,332,129
9283-of-13898,109232978,8834631.56,203,108029,332,129
9284-of-13898,108945975,8834631.56,203,108106,332,129
9285-of-13898,107655168,8670617.29,203,108123,332,129
9286-of-13898,107294663,8640406.4,203,108126,333,130
9287-of-13898,107031476,8603045.83,203,108173,334,130
9288-of-13898,116506821,10783091.14,206,109423,327,120
9289-of-13898,114059676,10416809.35,206,109520,327,121
9290-of-13898,105599746,8577596.14,207,110074,332,124
9291-of-13898,133803712,12225851.76,204,110996,322,118
9292-of-13898,68009458,6649614.45,208,110374,347,139
9293-of-13898,65094436,6301490.91,208,110520,349,141
9294-of-13898,65059459,6300230.32,208,110520,349,141
9295-of-13898,64400600,6138720.49,209,110785,350,142
9296-of-13898,150512041,12291332.45,208,110389,322,114
9297-of-13898,149207103,12048913.95,208,110399,322,114
9298-of-13898,55218759,4143487.44,210,110293,361,151
9299-of-13898,55066440,4123020.44,210,110294,361,152
9300-of-13898,80834159,5565719.61,206,108767,347,142
9301-of-13898,288548014,23704433.87,201,105660,300,99
9302-of-13898,262799177,21113197.16,202,106337,305,103
9303-of-13898,79842913,6204961.21,205,108327,346,141
9304-of-13898,77816833,5866550.44,205,108383,346,141
9305-of-13898,77701057,5863893.54,205,108433,346,141
9306-of-13898,76734447,5773303.02,205,108541,347,142
9307-of-13898,50547318,4090498.87,212,109674,362,150
9308-of-13898,102558990,8292518.17,209,109138,336,127
9309-of-13898,102310863,8277288.94,209,109143,337,127
9310-of-13898,97745191,8119666.18,209,109220,337,128
9311-of-13898,247869717,25021992.79,202,106834,303,101
9312-of-13898,246578910,24857978.52,202,106838,304,102
9313-of-13898,290366677,27695822.23,196,103167,295,99
9314-of-13898,288741044,26571119.62,197,103615,296,100
9315-of-13898,123843131,10330901.17,205,110534,322,118
9316-of-13898,123314712,10326077.99,205,110787,323,118
9317-of-13898,198332883,16668536.24,200,107899,309,109
9318-of-13898,191670544,16221298.79,200,108103,310,110
9319-of-13898,179553804,15002317.6,200,108193,313,112
9320-of-13898,172461073,14369875.22,202,108973,315,113
9321-of-13898,171767035,14326992.64,202,108993,316,114
9322-of-13898,295910286,24179110.06,198,102871,299,101
9323-of-13898,173576779,19351362.71,204,110363,310,107
9324-of-13898,173528695,19347476.51,204,110363,310,107
9325-of-13898,168093451,18421443.35,204,110556,311,107
9326-of-13898,164384736,18054320.84,204,110744,311,107
9327-of-13898,163924632,17986512.81,204,110753,312,108
9328-of-13898,194287327,16260640.96,204,110850,311,107
9329-of-13898,87469041,6483172.15,205,108457,345,139
9330-of-13898,85038361,6362190.99,205,108550,345,140
9331-of-13898,58588814,5546668.65,211,110200,350,139
9332-of-13898,58394135,5524813.87,211,110269,350,139
9333-of-13898,58220865,5508376.79,211,110299,350,139
9334-of-13898,55390854,5272883.18,211,110341,350,139
9335-of-13898,52728726,4990271.5,211,110405,351,140
9336-of-13898,116628431,12860785.39,202,107963,328,126
9337-of-13898,152128850,14924255.44,199,105476,322,123
9338-of-13898,149525200,14646629.86,199,105485,322,123
9339-of-13898,148877252,14003731.14,199,105551,324,124
9340-of-13898,72636333,6836704.96,208,110533,345,138
9341-of-13898,155663095,15167070.03,205,110623,316,111
9342-of-13898,155275813,15163317.88,205,110694,316,111
9343-of-13898,223917480,21670727.32,199,104002,305,106
9344-of-13898,217343043,20985598.89,200,104492,307,107
9345-of-13898,214400045,20729748.21,200,104533,307,107
9346-of-13898,174312978,13440782.77,206,107277,319,114
9347-of-13898,172474081,13210400.06,206,107288,320,114
9348-of-13898,156915264,11799704.63,207,107786,322,116
9349-of-13898,156887016,11799704.63,207,107788,322,116
9350-of-13898,77778183,6190478.06,206,109601,343,137
9351-of-13898,263052264,21789584.38,206,109449,306,100
9352-of-13898,259972521,21731911.91,206,109481,306,100
9353-of-13898,156422700,13569799.25,203,105948,321,118
9354-of-13898,154105759,16896243.75,199,105702,325,126
9355-of-13898,178037851,14721969.52,200,106301,318,118
9356-of-13898,107433253,12479990.45,204,108064,329,125
9357-of-13898,106643798,12431299.74,204,108302,330,126
9358-of-13898,114407069,12768609.55,205,108528,328,123
9359-of-13898,46112260,3768755.75,211,109510,362,151
9360-of-13898,46109974,3768732.27,211,109511,362,151
9361-of-13898,45434496,3726292.72,211,109529,363,152
9362-of-13898,91498429,6720349.08,207,106489,350,144
9363-of-13898,82070854,5349349.96,207,106752,352,145
9364-of-13898,81248643,5273401.43,207,106924,352,145
9365-of-13898,80221268,5200492.34,207,107002,353,146
9366-of-13898,195489273,22588726.12,199,107226,308,109
